UserKey,Word,Trial,F1,F2
Y4H4NG,head,1,742.1875,2031.25
Y4H4NG,head,2,703.125,2070.3125
Y4H4NG,head,3,781.25,2031.25
Y4H4NG,heed,1,351.5625,2812.5
Y4H4NG,heed,2,234.375,429.6875
Y4H4NG,heed,3,234.375,390.625
Y4H4NG,hid,1,39.0625,546.875
Y4H4NG,hid,2,312.5,585.9375
Y4H4NG,hid,3,39.0625,546.875
Y4H4NG,whod,1,39.0625,429.6875
Y4H4NG,whod,2,390.625,1132.8125
Y4H4NG,whod,3,390.625,1210.9375
YMH247,had,1,39.0625,937.5
YMH247,had,2,39.0625,898.4375
YMH247,had,3,39.0625,937.5
YMH247,hawed,1,156.25,781.25
YMH247,hawed,2,78.125,859.375
YMH247,hawed,3,39.0625,859.375
YMH247,head,1,195.3125,820.3125
YMH247,head,2,195.3125,742.1875
YMH247,head,3,195.3125,742.1875
YMH247,heed,1,234.375,2617.1875
YMH247,heed,2,273.4375,2617.1875
YMH247,heed,3,39.0625,234.375
YMH247,hid,1,195.3125,2070.3125
YMH247,hid,2,195.3125,2070.3125
YMH247,hid,3,234.375,2031.25
YMH247,whod,1,39.0625,234.375
YMH247,whod,2,39.0625,273.4375
YMH247,whod,3,39.0625,234.375
