Filepath,Peaks
A4_DC_2/5F3D6G_Clean.txt,"[192, 776, 1590, 2439, 3325, 4224, 5070, 5920, 6770, 7632, 8486, 9297, 10106, 10958, 11720, 12522, 13377, 14276, 15201, 16127, 17019, 17866, 18635, 19396, 20162, 20946, 21739, 22511, 23313, 24142, 24993, 25791, 26616, 27419, 28191, 28996, 29848, 30663]"
A4_DC_2/LM5SAG_Clean.txt,"[730, 1827, 2411, 2986, 3557, 4120, 4682, 5254, 5824, 6397, 6961, 7526, 8106, 8683, 9267, 9840, 10408, 10986, 11565, 12147, 12722, 13288, 13848, 14412, 14977, 15546, 16104, 16657, 17227, 17809, 18387, 18954, 19525, 20102, 20681, 21261, 21826, 22397, 22975, 23561, 24146, 24720, 25302, 25896, 26485, 27060, 27638, 28228, 28819, 29405, 29973, 30535]"
A4_DC_2/LWJ3G7_EMG.txt,"[1075, 1866, 2645, 3444, 4265, 5075, 5844, 6599, 7336, 8067, 8785, 9534, 10341, 11091, 11826, 12568, 13346, 13714, 14135, 14893, 15595, 16323, 17043, 17753, 18497, 19263, 19946, 20686, 21364, 22078, 22805, 23523, 24212, 24891, 25601, 26393, 27083, 27799, 28546, 29292, 30030, 30780, 31536, 32249, 32949, 33646, 34359, 35099, 35870, 36639, 37421, 38162, 38901]"
A4_DC_2/WXC872_Clean.txt,"[753, 1451, 2974, 3728, 4506, 5267, 6041, 6784, 7497, 8209, 8951, 9698, 10436, 11132, 11844, 12527, 13168, 13829, 14497, 15211, 15918, 16591, 17264, 17933, 18604, 19267, 19959, 20650, 21324, 21970, 22630, 23285, 23945, 24594, 25254, 25924, 26607, 27281]"
A4_DC_2/NHJSK9_NoFilter.txt,"[1483, 2493, 3451, 4395, 5270, 6151, 7109, 8136, 9204, 10231, 11160, 12024, 12895, 13816, 14808, 15813, 16747, 17607, 18407, 19218, 20066, 21028, 22057, 23077, 23878, 24955, 25766, 26543, 27322, 28166, 29129, 29942, 31054, 31906, 32708, 33499, 34316, 35269]"
A4_DC_2/WXC872_EMG.txt,"[894, 1653, 2385, 3127, 3885, 4661, 5465, 6216, 6963, 7724, 8495, 9293, 10038, 10783, 11561, 12320, 13041, 13706, 14430, 15189, 15922, 16639, 17377, 18120, 18892, 19133, 19584, 20271, 20961, 21668, 22387, 23139, 23932, 24747, 25498, 26291, 27087, 27898]"
A4_DC_2/5F3D6G_NoFilter.txt,"[927, 1764, 2642, 3570, 4524, 5477, 6435, 7390, 8311, 9175, 10025, 10865, 11691, 12483, 13293, 14129, 15001, 15840, 16651, 17450, 18270, 19156, 20073, 21021, 21953, 22825, 23632, 24419, 25226, 26072, 26953, 27872, 28751, 29660]"
A4_DC_2/LWJ3G7_Clean.txt,"[1229, 2348, 4464, 5549, 5872, 6679, 7006, 7809, 8131, 8970, 9294, 10119, 10452, 11226, 11556, 12338, 12668, 13454, 13788, 14522, 14855, 15593, 15922, 16675, 16997, 17739, 18065, 18794, 19117, 19888, 20210, 20991, 21320, 22056, 22384, 23121, 23448, 24238, 24529, 25381, 25707, 26467, 26796, 27571, 27899, 28677, 29006, 29766, 30098, 30836, 31159, 31951, 32282, 33087, 33417]"
A4_DC_2/I5ST6_NoFilter.txt,"[712, 1391, 2063, 2730, 3395, 4064, 4748, 5444, 6159, 6855, 7520, 8167, 8807, 9462, 10125, 10792, 11455, 12110, 12757, 13425, 14111, 14804, 15483, 16139, 16770, 17394, 18023, 18674, 19325, 19989, 20658, 21328, 21992, 22722, 23501, 24263, 25006, 25762, 26510, 27226, 27922, 28605, 29302, 30003, 30679, 31348, 32009]"
A4_DC_2/IM9878_NoFilter.txt,"[1577, 2441, 3491, 4410, 5419, 6510, 7669, 8648, 9644, 10804, 11975, 12987, 13970, 14951, 16027, 17264, 18439, 19446, 20432, 21485, 22522, 23433, 24343, 25369, 26402, 27393, 28298, 29226]"
A4_DC_2/C83JD0_Clean.txt,"[1111, 1934, 2729, 3498, 4227, 4949, 5753, 6583, 7440, 8260, 9000, 9702, 10449, 11256, 12184, 13072, 13949, 14785, 15578, 16309, 17125, 18030, 18972, 19928, 20859, 21776, 22614, 23390, 24141, 25003, 25922, 26841, 27784, 28718, 29001, 29618, 30434, 31158]"
A4_DC_2/C5N560_Clean.txt,"[1492, 2318, 3158, 3997, 4851, 5675, 6443, 7227, 8022, 8824, 9638, 10460, 11274, 12102, 12902, 13632, 14344, 15058, 15803, 16581, 17378, 18176, 18985, 19730, 20441, 21151, 21879, 22624, 23388, 24171, 24938, 25660, 26377, 27106, 27871, 28634, 29424, 30196, 30924]"
A4_DC_2/69420_EMG.txt,"[367, 1000, 1579, 2886, 3461, 4037, 4650, 5265, 5871, 6473, 7108, 7397, 7793, 8365, 9035, 9647, 10278, 10955, 11248, 11400, 11630, 12283, 12959, 13619, 14319, 14970, 15631, 16301, 16966, 17389, 17660, 17995, 18286, 18570, 18916, 19563, 19739, 20223, 20847, 21507, 21776, 22182, 22433, 22836, 23530, 23903, 24186, 24839, 25011, 25454, 26094, 26720, 26902, 27123, 27316, 27551, 27740, 27960, 28223, 28595, 28850, 29067, 29251, 29478, 29553, 29896, 30535]"
A4_DC_2/X1JQII_Clean.txt,"[242, 899, 1527, 2141, 2751, 3343, 3916, 4468, 5010, 5547, 6094, 6640, 7192, 7743, 8302, 8869, 9446, 10029, 10594, 11136, 11669, 12211, 12760, 13319, 13880, 14438, 14988, 15522, 16050, 16585, 17120, 17661, 18212, 18763, 19306, 19839, 20373, 20926, 21483, 22041, 22602, 23164, 23733, 24294, 24860, 25427, 25984, 26525, 27056, 27585, 28119, 28656, 29196, 29737, 30285]"
A4_DC_2/CR41NG_Clean.txt,"[1002, 1581, 2164, 3233, 4326, 4882, 5446, 6012, 6600, 7125, 7689, 8240, 8764, 9284, 9829, 10371, 10910, 11482, 12104, 12705, 13341, 13986, 14614, 15232, 15854, 16480, 17078, 17678, 18277, 18885, 19441, 20035, 20615, 21156, 21739, 22320, 22919, 23510, 24110, 24714, 25301, 25900, 26429, 27020, 27630, 28219, 28799]"
A4_DC_2/WXC872_NoFilter.txt,"[1286, 1981, 2678, 3433, 4231, 5050, 5870, 6615, 7327, 8042, 8771, 9531, 10313, 11054, 11781, 12501, 13249, 14042, 14850, 15619, 16360, 17077, 17808, 18573, 19343, 20096, 20837, 21544, 22265, 23023, 23831, 24641, 25443, 26191, 26905, 27619, 28372, 29170, 30008]"
A4_DC_2/ME18T9_Clean.txt,"[395, 1508, 2555, 3611, 4729, 5824, 6794, 7830, 8933, 9937, 11036, 12135, 13204, 14201, 15238, 16310, 17397, 18422, 19441, 20476, 21535, 22503, 23526, 24637, 25743, 26750, 27802]"
