Sample_Index	Signal_[mV]
666	-4136.34
667	-4181.35
668	-4227.89
669	-4262.23
670	-4282.83
671	-4275.2
672	-4272.14
673	-4234.76
674	-4203.48
675	-4220.26
676	-4206.53
677	-4149.31
678	-4108.87
679	-4094.38
680	-4103.53
681	-4106.58
682	-4102.77
683	-4066.15
684	-4043.26
685	-4044.78
686	-4052.41
687	-4034.87
688	-4037.16
689	-4043.26
690	-4031.05
691	-4018.08
692	-4016.56
693	-4008.93
694	-4008.16
695	-4010.45
696	-4008.16
697	-4013.5
698	-4002.06
699	-3993.67
700	-4006.64
701	-4003.59
702	-3990.62
703	-3989.09
704	-3979.93
705	-3982.22
706	-3999.01
707	-4000.53
708	-4004.35
709	-4011.98
710	-3998.25
711	-3982.99
712	-3979.93
713	-3995.96
714	-4003.59
715	-4002.82
716	-4002.82
717	-4008.93
718	-3989.09
719	-3969.25
720	-3962.39
721	-3963.91
722	-3970.78
723	-3973.07
724	-3946.37
725	-3937.97
726	-3945.6
727	-3964.68
728	-3972.31
729	-3952.47
730	-3939.5
731	-3931.1
732	-3950.18
733	-3964.68
734	-3950.94
735	-3944.08
736	-3939.5
737	-3941.02
738	-3937.97
739	-3935.68
740	-3935.68
741	-3948.65
742	-3953.99
743	-3964.68
744	-3970.78
745	-3956.28
746	-3916.61
747	-3917.37
748	-3944.08
749	-3928.82
750	-3903.64
751	-3915.08
752	-3934.16
753	-3950.94
754	-3960.1
755	-3957.05
756	-3965.44
757	-3989.09
758	-3979.17
759	-3950.18
760	-3915.85
761	-3912.79
762	-3905.93
763	-3907.45
764	-3918.13
765	-3916.61
766	-3905.16
767	-3904.4
768	-3902.11
769	-3902.88
770	-3907.45
771	-3917.37
772	-3929.58
773	-3907.45
774	-3870.07
775	-3857.1
776	-3866.25
777	-3871.6
778	-3902.11
779	-3922.71
780	-3913.56
781	-3899.82
782	-3876.17
783	-3847.18
784	-3825.06
785	-3824.29
786	-3824.29
787	-3828.11
788	-3841.08
789	-3860.91
790	-3861.68
791	-3858.63
792	-3860.91
793	-3850.23
794	-3845.66
795	-3849.47
796	-3863.97
797	-3858.63
798	-3840.31
799	-3848.71
800	-3855.57
801	-3857.1
802	-3841.84
803	-3822.77
804	-3825.82
805	-3825.82
806	-3814.38
807	-3815.9
808	-3812.08
809	-3797.59
810	-3793.01
811	-3805.98
812	-3818.19
813	-3818.95
814	-3802.93
815	-3779.28
816	-3754.86
817	-3745.71
818	-3762.49
819	-3753.34
820	-3722.06
821	-3722.06
822	-3735.79
823	-3719.77
824	-3709.09
825	-3726.64
826	-3735.79
827	-3719.77
828	-3700.7
829	-3701.46
830	-3706.04
831	-3700.7
832	-3700.7
833	-3699.93
834	-3698.41
835	-3670.18
836	-3677.04
837	-3677.04
838	-3683.91
839	-3670.18
840	-3665.6
841	-3654.92
842	-3629.74
843	-3619.06
844	-3632.03
845	-3641.18
846	-3628.21
847	-3623.64
848	-3628.98
849	-3638.13
850	-3638.9
851	-3621.35
852	-3609.14
853	-3619.06
854	-3619.82
855	-3606.09
856	-3561.84
857	-3554.21
858	-3563.36
859	-3571.76
860	-3590.83
861	-3607.61
862	-3596.93
863	-3599.99
864	-3608.38
865	-3599.22
866	-3567.94
867	-3551.92
868	-3567.18
869	-3572.52
870	-3570.99
871	-3573.28
872	-3569.47
873	-3559.55
874	-3561.84
875	-3570.23
876	-3574.81
877	-3574.81
878	-3570.23
879	-3570.99
880	-3567.94
881	-3570.99
882	-3594.64
883	-3601.51
884	-3628.98
885	-3646.52
886	-3634.32
887	-3606.85
888	-3592.36
889	-3627.45
890	-3657.21
891	-3670.94
892	-3681.62
893	-3686.96
894	-3692.3
895	-3686.96
896	-3698.41
897	-3715.95
898	-3725.11
899	-3713.67
900	-3708.32
901	-3736.55
902	-3747.23
903	-3741.13
904	-3743.42
905	-3735.03
906	-3741.13
907	-3767.07
908	-3780.04
909	-3793.01
910	-3822.77
911	-3831.92
912	-3838.79
913	-3824.29
914	-3823.53
915	-3837.26
916	-3834.21
917	-3823.53
918	-3815.9
919	-3819.72
920	-3830.4
921	-3847.18
922	-3857.1
923	-3862.44
924	-3861.68
925	-3866.25
926	-3879.22
927	-3881.51
928	-3893.72
929	-3891.43
930	-3875.41
931	-3885.33
932	-3892.19
933	-3889.14
934	-3889.91
935	-3902.11
936	-3912.79
937	-3914.32
938	-3910.51
939	-3908.22
940	-3912.03
941	-3907.45
942	-3924.24
943	-3929.58
944	-3908.22
945	-3923.48
946	-3931.87
947	-3914.32
948	-3899.06
949	-3916.61
950	-3937.21
951	-3934.92
952	-3934.92
953	-3941.02
954	-3934.16
955	-3923.48
956	-3903.64
957	-3902.11
958	-3915.08
959	-3926.53
960	-3941.02
961	-3953.99
962	-3944.08
963	-3931.1
964	-3924.24
965	-3918.13
966	-3895.25
967	-3896.77
968	-3937.97
969	-3928.82
970	-3905.16
971	-3905.93
972	-3905.16
973	-3907.45
974	-3907.45
975	-3908.98
976	-3928.05
977	-3941.79
978	-3932.63
979	-3918.9
980	-3915.08
981	-3929.58
982	-3948.65
983	-3959.34
984	-3962.39
985	-3937.21
986	-3917.37
987	-3914.32
988	-3913.56
989	-3921.95
990	-3929.58
991	-3936.45
992	-3931.1
993	-3939.5
994	-3936.45
995	-3920.42
996	-3925
997	-3936.45
998	-3934.92
999	-3929.58
1000	-3937.21
1001	-3941.79
1002	-3940.26
1003	-3931.87
1004	-3924.24
1005	-3914.32
1006	-3898.3
1007	-3889.91
1008	-3897.54
1009	-3902.88
1010	-3910.51
1011	-3918.13
1012	-3924.24
1013	-3909.74
1014	-3906.69
1015	-3903.64
1016	-3907.45
1017	-3923.48
1018	-3916.61
1019	-3886.09
1020	-3881.51
1021	-3888.38
1022	-3908.22
1023	-3918.13
1024	-3900.59
1025	-3866.25
1026	-3871.6
1027	-3901.35
1028	-3905.93
1029	-3898.3
1030	-3880.75
1031	-3870.07
1032	-3877.7
1033	-3883.8
1034	-3867.02
1035	-3854.81
1036	-3864.73
1037	-3883.8
1038	-3904.4
1039	-3916.61
1040	-3915.85
1041	-3901.35
1042	-3879.99
1043	-3889.14
1044	-3909.74
1045	-3918.13
1046	-3912.03
1047	-3897.54
1048	-3897.54
1049	-3915.85
1050	-3922.71
1051	-3900.59
1052	-3870.83
1053	-3863.97
1054	-3870.07
1055	-3874.65
1056	-3876.17
1057	-3864.73
1058	-3869.31
1059	-3895.25
1060	-3931.1
1061	-3953.99
1062	-3931.1
1063	-3894.48
1064	-3886.85
1065	-3899.82
1066	-3892.96
1067	-3869.31
1068	-3855.57
1069	-3860.15
1070	-3876.94
1071	-3889.14
1072	-3875.41
1073	-3877.7
1074	-3893.72
1075	-3876.17
1076	-3870.83
1077	-3863.2
