Sample_Index	Signal_[mV]
1673	-713.887
1674	-709.892
1675	-705.566
1676	-700.984
1677	-696.215
1678	-691.314
1679	-686.328
1680	-681.301
1681	-676.268
1682	-671.26
1683	-666.299
1684	-661.399
1685	-656.565
1686	-651.791
1687	-647.066
1688	-642.38
1689	-637.73
1690	-633.121
1691	-628.57
1692	-624.094
1693	-619.711
1694	-615.441
1695	-611.308
1696	-607.333
1697	-603.531
1698	-599.895
1699	-596.41
1700	-593.058
1701	-589.829
1702	-586.722
1703	-583.744
1704	-580.904
1705	-578.214
1706	-575.685
1707	-573.331
1708	-571.163
1709	-569.19
1710	-567.411
1711	-565.823
1712	-564.413
1713	-563.169
1714	-562.081
1715	-561.146
1716	-560.366
1717	-559.744
1718	-559.277
1719	-558.951
1720	-558.736
1721	-558.586
1722	-558.453
1723	-558.298
1724	-558.085
1725	-557.78
1726	-557.355
1727	-556.784
1728	-556.048
1729	-555.137
1730	-554.039
1731	-552.75
1732	-551.27
1733	-549.607
1734	-547.778
1735	-545.811
1736	-543.737
1737	-541.596
1738	-539.429
1739	-537.272
1740	-535.155
1741	-533.098
1742	-531.109
1743	-529.192
1744	-527.341
1745	-525.545
1746	-523.789
1747	-522.055
1748	-520.328
1749	-518.596
1750	-516.851
1751	-515.083
1752	-513.282
1753	-511.436
1754	-509.537
1755	-507.578
1756	-505.562
1757	-503.499
1758	-501.405
1759	-499.302
1760	-497.211
1761	-495.153
1762	-493.141
1763	-491.176
1764	-489.244
1765	-487.327
1766	-485.406
1767	-483.465
1768	-481.492
1769	-479.476
1770	-477.41
1771	-475.285
1772	-473.098
1773	-470.846
1774	-468.523
1775	-466.113
1776	-463.599
1777	-460.966
1778	-458.206
1779	-455.317
1780	-452.299
1781	-449.159
1782	-445.909
1783	-442.563
1784	-439.134
1785	-435.631
1786	-432.06
1787	-428.429
1788	-424.744
1789	-421.01
1790	-417.233
1791	-413.42
1792	-409.577
1793	-405.717
1794	-401.852
1795	-397.998
1796	-394.172
1797	-390.383
1798	-386.631
1799	-382.899
1800	-379.167
1801	-375.417
1802	-371.637
1803	-367.813
1804	-363.936
1805	-359.995
1806	-355.978
1807	-351.876
1808	-347.679
1809	-343.384
1810	-338.999
1811	-334.535
1812	-330.005
1813	-325.42
1814	-320.787
1815	-316.108
1816	-311.379
1817	-306.59
1818	-301.727
1819	-296.774
1820	-291.723
1821	-286.573
1822	-281.333
1823	-276.02
1824	-270.654
